,Favorites,Followers,Friends,Value
95,2099,889671,46678,Sat Apr 01 23:55:21 +0000 2017
96,2099,889732,46675,Sun Apr 02 10:44:50 +0000 2017
97,2099,889787,46676,Sun Apr 02 17:22:41 +0000 2017
98,2099,889868,46678,Sun Apr 02 23:48:50 +0000 2017
99,2099,889878,46678,Mon Apr 03 00:21:11 +0000 2017
100,2099,889894,46679,Mon Apr 03 01:45:48 +0000 2017
101,2099,889896,46679,Mon Apr 03 01:47:41 +0000 2017
102,2099,889904,46679,Mon Apr 03 02:31:02 +0000 2017
103,2099,889923,46678,Mon Apr 03 08:23:29 +0000 2017
104,2099,889938,46678,Mon Apr 03 11:41:58 +0000 2017
105,2099,889951,46678,Mon Apr 03 12:26:19 +0000 2017
106,2099,889960,46678,Mon Apr 03 15:55:00 +0000 2017
107,2099,889985,46677,Mon Apr 03 19:01:32 +0000 2017
108,2103,890042,46675,Tue Apr 04 02:25:12 +0000 2017
109,2103,890053,46675,Tue Apr 04 08:46:37 +0000 2017
110,2103,890052,46675,Tue Apr 04 10:24:51 +0000 2017
111,2106,890095,46675,Tue Apr 04 16:04:40 +0000 2017
112,2108,890120,46676,Tue Apr 04 19:54:54 +0000 2017
113,2108,890157,46675,Wed Apr 05 02:05:36 +0000 2017
114,2108,890185,46674,Wed Apr 05 04:02:38 +0000 2017
115,2108,890192,46674,Wed Apr 05 05:07:06 +0000 2017
116,2108,890230,46674,Wed Apr 05 09:02:13 +0000 2017
117,2108,890249,46674,Wed Apr 05 10:56:59 +0000 2017
118,2108,890277,46675,Wed Apr 05 14:20:21 +0000 2017
119,2110,890317,46672,Wed Apr 05 19:04:07 +0000 2017
120,2110,890349,46670,Wed Apr 05 21:17:24 +0000 2017
121,2109,890564,46669,Thu Apr 06 15:25:10 +0000 2017
122,2111,890627,46669,Thu Apr 06 18:46:04 +0000 2017
123,2111,890666,46666,Thu Apr 06 20:58:59 +0000 2017
124,2119,890878,46665,Fri Apr 07 15:23:52 +0000 2017
125,2119,890891,46665,Fri Apr 07 16:17:54 +0000 2017
126,2121,890953,46664,Fri Apr 07 20:09:25 +0000 2017
127,2121,891012,46666,Sat Apr 08 00:38:17 +0000 2017
128,2122,891060,46668,Sat Apr 08 06:22:39 +0000 2017
129,2122,891074,46667,Sat Apr 08 08:33:01 +0000 2017
130,2122,891109,46667,Sat Apr 08 12:01:31 +0000 2017
131,2122,891138,46667,Sat Apr 08 14:00:08 +0000 2017
132,2122,891150,46668,Sat Apr 08 15:02:32 +0000 2017
133,2122,891149,46668,Sat Apr 08 15:07:26 +0000 2017
134,2122,891170,46668,Sat Apr 08 15:52:09 +0000 2017
135,2122,891205,46668,Sat Apr 08 17:24:49 +0000 2017
136,2122,891242,46668,Sat Apr 08 20:07:15 +0000 2017
